ATR,Entry_Window,Exit_Window,Sharpe,Net_Profit,Drawdown,Trades,WinRate
2.25,25,20,0.731868384285371,1612.6009516595786,47.723219060497705,22,45.45454545454545
2.25,35,15,0.7306638423897046,1580.5208517573915,42.67698626025572,21,47.61904761904761
2.0,20,10,0.7285483722963882,1727.665473115453,44.065958229719506,28,39.285714285714285
2.25,40,20,0.7173137815751479,1489.5906859119564,42.67698626025572,20,45.0
1.75,20,15,0.715614881557077,1643.9530728165378,39.90404123799108,29,37.93103448275862
2.75,30,5,0.7153988776333936,1565.5743039535728,46.438929239238924,23,43.47826086956522
3.0,30,5,0.7153988776333936,1565.5743039535728,46.438929239238924,23,43.47826086956522
2.0,20,20,0.7140835522117306,1646.2837773263195,44.06595822971949,26,38.46153846153847
2.75,40,5,0.7115720369262359,1537.2130118923174,46.438929239238924,22,45.45454545454545
3.0,40,5,0.7115720369262359,1537.2130118923174,46.438929239238924,22,45.45454545454545
1.75,15,10,0.7110788051426242,1668.4244120411927,55.17943936363545,31,38.70967741935484
2.75,20,10,0.7100551658701978,1757.2332432086887,48.423952936287016,25,40.0
2.25,40,15,0.707402715442085,1479.7936318076781,42.67698626025572,21,47.61904761904761
2.0,15,5,0.7014890054796765,1602.465459967238,61.02120096061198,32,37.5
2.75,20,15,0.6984625561181728,1749.6137136238294,45.083559031673495,23,34.78260869565217
1.75,20,20,0.6971183341913378,1559.155778193809,39.90404123799108,29,37.93103448275862
1.75,15,5,0.6969546621465763,1560.013214653015,59.50125033274113,33,36.36363636363637
2.25,20,5,0.6950168477888405,1527.4876109080947,47.73674701063048,30,36.666666666666664
2.0,20,15,0.693246518043405,1566.073224347514,44.0659582297195,28,39.285714285714285
3.0,20,10,0.6924023080458601,1665.6108961913978,50.137815371933684,25,40.0
2.0,15,10,0.6897738024442954,1589.8368257876946,58.28325514892395,30,40.0
2.25,30,15,0.6897067520034967,1421.0757282727345,42.67698626025573,22,45.45454545454545
2.75,15,10,0.6784990436071889,1631.0213352753108,61.53353614922907,27,40.74074074074074
2.25,30,20,0.6781031015824179,1348.863484931424,42.67698626025571,21,42.857142857142854
1.75,15,15,0.676576907333424,1510.3417198419534,55.17943936363549,31,38.70967741935484
3.0,15,20,0.6744758403779484,1698.038265874854,55.48663797078904,21,33.33333333333333
2.25,20,10,0.673469340078496,1473.9054700634188,44.06595822971951,28,39.285714285714285
2.75,20,5,0.6730799293088051,1510.9763336971055,47.736747010630495,29,37.93103448275862
3.0,20,5,0.6730799293088051,1510.9763336971055,47.736747010630495,29,37.93103448275862
2.0,15,20,0.6682826475473057,1475.2428415715294,58.28325514892397,28,35.714285714285715
3.0,15,10,0.6614392407923068,1543.5929864461923,62.81176957693938,27,40.74074074074074
1.75,15,20,0.6588891163783799,1430.1846019682357,55.17943936363549,31,38.70967741935484
2.25,15,5,0.6588460937443065,1411.7949337985106,61.02120096061198,32,37.5
2.0,15,15,0.6560233868126975,1436.4098162273694,58.283255148923985,30,40.0
2.75,15,5,0.6407715125128645,1396.0473011617914,61.021200960611964,31,38.70967741935484
3.0,15,5,0.6407715125128645,1396.0473011617914,61.021200960611964,31,38.70967741935484
2.25,15,10,0.639692485468125,1360.677378477043,58.28325514892397,30,40.0
3.0,20,15,0.6196415004376291,1358.6061419263874,48.278300476031795,23,34.78260869565217
2.75,15,15,0.601896560288545,1293.643128850866,61.937726467681884,25,36.0
2.25,20,20,0.5841801404576648,1102.1517291922883,45.39950541926794,26,38.46153846153847
2.25,20,15,0.5651437592652794,1038.4341664393523,45.31263491267506,28,39.285714285714285
2.5,10,15,0.5496991429213477,1052.3830544658767,67.35288751113802,32,28.125
2.25,15,20,0.5462902412299729,976.1399593608057,59.21305194973869,28,35.714285714285715
2.25,15,15,0.5357605799073694,945.1371454806349,59.21305194973867,30,40.0
2.5,10,5,0.5352533139882973,969.6736376635954,63.69385000792628,40,37.5
2.5,10,20,0.5338518977375019,979.656287322141,67.35288751113806,30,26.666666666666668
3.0,15,15,0.5312354850411573,979.7263489848156,64.1519836295823,25,36.0
1.5,10,5,0.5188902457420553,882.2770553951814,58.80351271025833,44,34.090909090909086
2.5,10,10,0.5171711719077147,910.8323502777666,64.49376968910772,35,34.285714285714285
2.75,10,20,0.501501304854934,864.5679176173094,63.18079250319282,27,33.33333333333333
1.5,10,10,0.4979316910688874,810.640404963362,55.443704711722,43,32.55813953488372
1.5,10,15,0.49031342725750016,784.3821588218839,55.443704711722006,43,30.23255813953488
1.5,10,20,0.49031342725750016,784.3821588218839,55.443704711722006,43,30.23255813953488
